agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11136800,26,1962-02-10,,Yes,UNK,USGS,7.89,1830,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,1830,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,27,1962-02-11,,Yes,UNK,USGS,10.85,8730,Good,,,,NONE,1,Imported Channel 1,OTHR,QIDIR,,8730,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,28,1962-02-12,,Yes,UNK,USGS,6.20,1590,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,1590,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,29,1962-02-13,,Yes,UNK,USGS,5.15,354,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,354,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,33,1962-02-19,,Yes,UNK,USGS,5.20,536,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,536,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,34,1962-02-20,,Yes,UNK,USGS,4.82,429,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,429,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,82,1965-11-18,,Yes,UNK,USGS,4.72,266,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,266,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,87,1965-12-30,,Yes,UNK,USGS,6.82,2070,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2070,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,101,1966-12-07,,Yes,UNK,USGS,7.46,2290,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2290,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,107,1967-01-24,,Yes,UNK,USGS,5.62,342,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,342,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,110,1967-01-31,,Yes,EWH,USGS,4.73,64.1,Good,0.00,0.30,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,64.1,39.0,25.8,2.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11136800,111,1967-03-11,,Yes,EWH,USGS,4.25,8.06,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,8.06,11.0,6.23,1.29,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
