agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11152000,235,1955-12-23,,Yes,DRD/LRP,USGS,14.30,27700,Unspecified,,,,NONE,1,Channel 1,OTHR,QIDIR,,27700,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,282,1959-10-01,,Yes,VDB,USGS,2.52,6.94,Good,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,6.94,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,283,1959-11-06,,Yes,VDB,USGS,3.20,6.52,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,6.52,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,284,1959-12-08,,Yes,VDB,USGS,3.26,6.09,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,6.09,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,285,1960-01-06,,Yes,VDB,USGS,3.34,10.3,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,10.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,286,1960-02-02,,Yes,BE,USGS,7.33,961,Good,-0.10,0.90,,NONE,1,Imported Channel 1,UNSP,other,,961,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,287,1960-03-01,,Yes,BE,USGS,4.22,105,Good,-0.01,0.80,,NONE,1,Imported Channel 1,UNSP,other,,105,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,288,1960-03-31,,Yes,BE,USGS,3.90,63.9,Good,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,63.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11152000,289,1960-04-29,,Yes,BE,USGS,4.24,104,Good,-0.01,0.60,,NONE,1,Imported Channel 1,UNSP,other,,104,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
