agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11290000,20,1942-04-29,,Yes,DWR,USGS,45.92,4180,Good,-0.03,0.50,,NONE,1,Imported Channel 1,UNSP,other,,4180,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,21,1942-05-27,,Yes,DWR,USGS,55.06,11500,Good,-0.03,0.70,,NONE,1,Imported Channel 1,UNSP,other,,11500,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,22,1942-07-09,,Yes,DWR,USGS,42.31,1860,Unspecified,-0.03,0.90,,NONE,1,Imported Channel 1,UNSP,other,,1860,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,23,1942-09-25,,Yes,DWR,USGS,39.52,900,Unspecified,0.00,,,NONE,1,Imported Channel 1,UNSP,other,,900,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,24,1942-11-06,,Yes,DWR,USGS,39.42,855,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,855,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,25,1943-01-12,,Yes,DWR,USGS,40.83,1520,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1520,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,26,1943-03-11,,Yes,DWR,USGS,59.62,17400,Unspecified,0.05,1.30,,NONE,1,Imported Channel 1,UNSP,other,,17400,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,27,1943-05-28,,Yes,DWR,USGS,52.53,8690,Unspecified,-0.04,1.00,,NONE,1,Imported Channel 1,UNSP,other,,8690,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,28,1943-08-05,,Yes,DWR,USGS,38.63,584,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,584,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,29,1943-10-15,,Yes,DWR,USGS,39.42,948,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,948,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,30,1943-12-01,,Yes,DWR,USGS,40.75,1530,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1530,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,31,1944-06-05,,Yes,FCC,USGS,39.44,1020,Good,-0.04,1.80,,NONE,1,Imported Channel 1,UNSP,other,,1020,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,32,1944-07-14,,Yes,FCC,USGS,37.31,294,Good,-0.02,1.20,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,294,98.5,188,1.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,34,1944-09-27,,Yes,DLM,USGS,37.22,308,Good,0.01,0.80,,NONE,1,Imported Channel 1,WADE,unspe,unkno,308,179,245,1.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,35,1944-10-19,,Yes,DLM,USGS,39.05,819,Good,-0.02,1.00,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,819,215,670,1.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,36,1944-11-07,,Yes,DLM,USGS,39.11,925,Good,0.02,1.00,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,925,185,672,1.38,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,37,1944-11-22,,Yes,DLM,USGS,40.59,1390,Good,0.02,1.20,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1390,180,739,1.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,38,1944-11-30,,Yes,DWR,USGS,40.94,1500,Unspecified,-0.02,0.80,,NONE,1,Imported Channel 1,BOAT,unspe,unkno,1500,186,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,39,1944-12-15,,Yes,DLM,USGS,42.38,2260,Good,0.23,1.20,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2260,193,1090,2.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,41,1945-01-03,,Yes,DLM,USGS,40.36,1430,Good,0.01,1.10,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1430,182,687,2.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,40,1945-01-03,,Yes,DWR,USGS,40.36,1410,Unspecified,0.01,0.90,,NONE,1,Imported Channel 1,BOAT,unspe,unkno,1410,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,42,1945-01-20,,Yes,DLM,USGS,39.97,1220,Good,0.02,1.20,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1220,168,616,1.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,43,1945-02-08,,Yes,IMI/OSH,USGS,46.94,4660,Good,-0.12,1.10,,NONE,1,Imported Channel 1,BOAT,unspe,unkno,4660,212,2000,2.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,44,1945-02-21,,Yes,DLM,USGS,43.17,2670,Good,-0.06,1.00,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2670,192,1160,2.30,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,45,1945-03-14,,Yes,DLM,USGS,42.27,2250,Good,-0.08,1.30,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,2250,188,1080,2.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,46,1945-03-29,,Yes,DLM,USGS,45.66,3960,Good,-0.07,1.30,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,3960,210,1610,2.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,47,1945-04-19,,Yes,DLM,USGS,41.62,1800,Good,-0.14,1.10,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1800,188,885,2.03,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,48,1945-05-16,,Yes,DLM,USGS,41.86,1950,Good,-0.16,1.20,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1950,189,848,2.30,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,49,1945-06-16,,Yes,DLM,USGS,50.65,7440,Good,-0.01,1.50,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,7440,231,2810,2.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,50,1945-07-11,,Yes,DLM,USGS,39.58,893,Good,-0.01,0.80,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,893,167,400,2.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,51,1945-07-24,,Yes,DLM/MCG,USGS,37.85,350,Fair,-0.02,0.80,,NONE,1,Imported Channel 1,WADE,unspe,unkno,350,135,219,1.60,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11290000,52,1945-08-14,,Yes,DLM,USGS,37.67,406,Fair,-0.04,0.90,,NONE,1,Imported Channel 1,UNSP,other,,406,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
