agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,10296500,1,1957-05-29,,Yes,DC / RC,USGS,2.56,793,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,793,68.0,167,4.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,2,1957-06-04,,Yes,DC / RC,USGS,3.71,1830,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,1830,73.0,250,7.32,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,3,1957-06-12,,Yes,DC,USGS,2.68,878,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,878,69.0,180,4.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,4,1957-07-01,,Yes,RC,USGS,2.59,806,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,806,67.0,168,4.80,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,5,1957-07-27,,Yes,C,USGS,1.54,200,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,200,64.0,95.1,2.10,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,6,1957-08-20,,Yes,C,USGS,1.12,88.8,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,88.8,46.0,68.6,1.29,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,7,1957-08-31,,Yes,C,USGS,1.06,79.7,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,79.7,48.0,67.0,1.19,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,8,1957-09-30,,Yes,DC / OK,USGS,0.89,50.1,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,50.1,30.0,30.1,1.66,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,9,1957-11-01,,Yes,DC,USGS,0.93,60.3,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,60.3,32.0,35.4,1.70,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,10,1957-11-13,,Yes,OK / RC,USGS,0.96,62.5,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,62.5,62.0,58.2,1.07,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10296500,11,1957-12-12,,Yes,RC,USGS,0.73,28.9,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,28.9,35.0,39.3,0.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
