agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,10310000,1,1938-10-21,,Yes,EJR,USGS,1.17,33.0,Good,0.00,0.70,,NONE,1,Imported Channel 1,UNSP,other,,33.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,2,1938-11-07,,Yes,EJR,USGS,1.04,23.0,Excellent,-0.03,0.50,,NONE,1,Imported Channel 1,UNSP,other,,23.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,3,1939-05-25,,Yes,ABP,USGS,2.03,102,Excellent,-0.02,3.00,,NONE,1,Imported Channel 1,UNSP,other,,102,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,4,1939-07-05,,Yes,ABP,USGS,1.76,75.8,Unspecified,0.00,2.00,,NONE,1,Imported Channel 1,UNSP,other,,75.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,5,1939-08-02,,Yes,MTW,USGS,0.89,13.9,Good,-0.02,1.50,,NONE,1,Imported Channel 1,UNSP,other,,13.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,6,1939-08-03,,Yes,MTW,USGS,0.86,16.6,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,16.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,7,1939-09-23,,Yes,ABP,USGS,0.89,14.8,Excellent,,,,NONE,1,Imported Channel 1,UNSP,other,,14.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,8,1939-10-02,,Yes,ABP,USGS,1.27,30.6,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,30.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,9,1939-12-21,,Yes,ABP,USGS,0.62,10.5,Fair,0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,10.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,10,1940-03-18,,Yes,ABP,USGS,1.60,50.0,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,50.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,11,1940-05-28,,Yes,ABP,USGS,3.51,308,Good,-0.03,2.00,,NONE,1,Imported Channel 1,UNSP,other,,308,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,12,1940-07-17,,Yes,ABP,USGS,2.01,95.4,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,95.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,14,1940-10-03,,Yes,ABP,USGS,0.97,19.8,Good,0.00,3.00,,NONE,1,Imported Channel 1,UNSP,other,,19.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,15,1941-03-02,,Yes,ABP,USGS,1.16,33.3,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,33.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,16,1941-05-17,,Yes,ABH,USGS,4.44,608,Fair,-0.06,1.30,,NONE,1,Imported Channel 1,UNSP,other,,608,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,17,1941-05-18,,Yes,ABH,USGS,4.11,495,Fair,-0.40,1.20,,NONE,1,Imported Channel 1,UNSP,other,,495,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,18,1941-05-20,,Yes,ABH,USGS,3.54,352,Good,0.00,1.60,,NONE,1,Imported Channel 1,UNSP,other,,352,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,19,1941-06-17,,Yes,ABP,USGS,2.88,210,Good,-0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,20,1941-11-18,,Yes,ABP,USGS,1.24,32.3,Fair,,,,NONE,1,Imported Channel 1,UNSP,other,,32.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,21,1942-04-16,,Yes,ABP,USGS,2.97,231,Good,-0.02,2.00,,NONE,1,Imported Channel 1,UNSP,other,,231,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,22,1942-06-07,,Yes,ABH,USGS,4.50,622,Good,-0.07,1.60,,NONE,1,Imported Channel 1,UNSP,other,,622,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,23,1942-06-08,,Yes,ABH,USGS,4.15,501,Good,-0.04,1.50,,NONE,1,Imported Channel 1,UNSP,other,,501,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,24,1942-08-27,,Yes,ABH,USGS,1.77,77.5,Good,0.00,1.20,,NONE,1,Imported Channel 1,UNSP,other,,77.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,25,1942-12-10,,Yes,L H/K,USGS,1.55,54.0,Good,-0.04,0.50,,NONE,1,Imported Channel 1,UNSP,other,,54.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,26,1943-02-22,,Yes,L H/W M,USGS,1.68,65.2,Good,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,65.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,27,1943-04-19,,Yes,WM,USGS,3.79,391,Good,-0.02,1.10,,NONE,1,Imported Channel 1,UNSP,other,,391,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,29,1943-05-25,,Yes,WM,USGS,3.62,368,Good,-0.02,1.60,,NONE,1,Imported Channel 1,UNSP,other,,368,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,28,1943-05-25,,Yes,WM,USGS,3.77,384,Good,-0.04,1.40,,NONE,1,Imported Channel 1,UNSP,other,,384,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,30,1943-06-20,,Yes,WM,USGS,2.83,208,Good,-0.03,1.50,,NONE,1,Imported Channel 1,UNSP,other,,208,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,31,1943-07-22,,Yes,WM,USGS,1.83,83.6,Good,-0.01,1.20,,NONE,1,Imported Channel 1,UNSP,other,,83.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,32,1943-08-20,,Yes,LH,USGS,1.60,60.6,Good,-0.02,1.10,,NONE,1,Imported Channel 1,UNSP,other,,60.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,33,1943-10-04,,Yes,WM,USGS,1.04,21.0,Good,0.00,0.70,,NONE,1,Imported Channel 1,UNSP,other,,21.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,34,1943-11-21,,Yes,WM,USGS,1.07,24.5,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,24.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,35,1944-01-10,,Yes,WM,USGS,1.02,21.6,Fair,-0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,21.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,36,1944-03-04,,Yes,WM,USGS,0.92,19.3,Good,-0.02,0.80,,NONE,1,Imported Channel 1,UNSP,other,,19.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,37,1944-04-10,,Yes,WM,USGS,1.57,55.9,Good,0.06,1.00,,NONE,1,Imported Channel 1,UNSP,other,,55.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,38,1944-05-14,,Yes,WM,USGS,3.68,377,Good,-0.05,1.30,,NONE,1,Imported Channel 1,UNSP,other,,377,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,39,1944-06-15,,Yes,WM,USGS,2.18,119,Good,0.00,1.30,,NONE,1,Imported Channel 1,UNSP,other,,119,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,40,1944-07-23,,Yes,WM,USGS,1.27,36.2,Good,-0.02,1.00,,NONE,1,Imported Channel 1,UNSP,other,,36.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,10310000,41,1944-09-05,,Yes,WM,USGS,0.71,14.5,Good,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,14.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
