agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11181000,1A,1940-01-04,,Yes,MAT,USGS,2.98,12.9,Fair,-0.02,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,12.9,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,2A,1940-01-11,,Yes,MAT,USGS,4.91,221,Fair,-0.11,1.00,,NONE,1,Imported Channel 1,WADE,unspe,unkno,221,30.0,68.7,3.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,3A,1940-01-16,,Yes,ALE,USGS,2.86,13.6,Good,0.01,0.70,,NONE,1,Imported Channel 1,WADE,unspe,unkno,13.6,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,4A,1940-01-26,,Yes,ALE,USGS,4.70,176,Good,-0.13,0.70,,NONE,1,Imported Channel 1,WADE,unspe,unkno,176,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,5A,1940-02-04,,Yes,ALE,USGS,3.60,55.0,Good,0.04,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,55.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,6A,1940-02-23,,Yes,ALE,USGS,3.19,28.6,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,28.6,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,7A,1940-02-23,,Yes,ALE,USGS,3.18,28.1,Good,-0.01,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,28.1,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,8B,1940-02-27,,Yes,UNK,USGS,13.10,3420,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,9A,1940-03-05,,Yes,ALE,USGS,3.72,74.0,Good,0.00,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,74.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,10A,1940-03-06,,Yes,ALE,USGS,3.61,62.0,Good,0.00,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,62.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,11A,1940-03-11,,Yes,ALE,USGS,3.29,35.8,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,35.8,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,12A,1940-03-26,,Yes,ALE,USGS,3.06,20.5,Good,-0.01,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,20.5,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,14A,1940-03-30,,Yes,ALE,USGS,7.23,797,Fair,0.33,0.60,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,797,39.0,141,5.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,15A,1940-04-04,,Yes,ALE,USGS,3.59,63.0,Good,0.00,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,63.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,16A,1940-04-18,,Yes,ALE,USGS,2.98,21.9,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,21.9,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,17A,1940-04-18,,Yes,ALE,USGS,2.98,22.3,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,22.3,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,18A,1940-04-29,,Yes,ALE,USGS,2.85,14.5,Good,0.00,0.40,,NONE,1,Imported Channel 1,WADE,unspe,unkno,14.5,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,19A,1940-05-16,,Yes,ALE,USGS,2.67,7.70,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,7.70,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,20A,1940-06-04,,Yes,ALE,USGS,2.56,4.80,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,4.80,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,21A,1940-07-01,,Yes,ALE,USGS,2.41,1.60,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,1.60,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,22A,1940-07-16,,Yes,ALE,USGS,2.35,0.70,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.70,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,23A,1940-07-29,,Yes,ALE,USGS,2.34,0.30,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.30,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,24A,1940-08-26,,Yes,ALE,USGS,2.31,0.40,Good,0.00,0.20,,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.40,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,25A,1940-10-30,,Yes,ALE,USGS,2.32,0.60,Good,0.00,0.10,,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.60,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,8A,1941-02-27,,Yes,ALE,USGS,8.10,1100,Unspecified,-0.03,0.60,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,1100,40.0,177,6.11,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,1,1946-10-30,,Yes,W?S/RCW,USGS,1.72,0.00,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,0.00,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,2,1946-11-20,,Yes,RSL,USGS,2.18,1.58,Good,-0.01,0.30,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,1.58,6.30,2.40,0.66,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,3,1946-11-23,,Yes,WS,USGS,2.26,3.65,Unspecified,-0.01,0.30,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,3.65,11.8,6.60,0.55,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,4,1946-11-25,,Yes,WS,USGS,2.09,0.30,Good,,,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.30,4.50,1.01,0.30,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,5,1946-12-06,,Yes,WS,USGS,2.38,6.70,Unspecified,-0.01,0.60,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,6.70,12.5,8.20,0.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,6,1947-01-10,,Yes,WS,USGS,2.13,0.76,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,0.76,5.50,1.67,0.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,7,1947-02-12,,Yes,RSL,USGS,2.47,11.5,Good,0.02,0.50,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,11.5,14.0,11.4,1.01,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,8,1947-02-13,,Yes,RSL,USGS,2.32,4.80,Good,-0.01,0.50,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,4.80,11.0,5.70,0.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,9,1947-02-21,,Yes,RCW,USGS,2.16,1.35,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,1.35,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,10,1947-03-03,,Yes,HFM,USGS,2.27,3.69,Fair,-0.01,0.40,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,3.69,11.2,5.30,0.70,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,11,1947-03-05,,Yes,RCW,USGS,2.24,2.84,Good,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.84,8.30,4.34,0.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,12,1947-03-10,,Yes,RSL,USGS,3.80,138,Good,-0.08,0.30,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,138,30.0,37.6,3.67,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,13,1947-03-10,,Yes,RSL,USGS,3.67,117,Good,-0.06,0.40,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,117,27.0,34.4,3.40,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,14,1947-03-10,,Yes,RSL,USGS,3.48,100,Good,-0.04,0.30,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,100,26.5,29.6,3.38,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,15,1947-03-11,,Yes,RSL,USGS,2.69,22.8,Good,-0.02,0.50,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,22.8,21.5,11.5,1.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,16,1947-03-25,,Yes,RCW,USGS,2.23,2.76,Good,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.76,9.90,4.88,0.57,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11181000,17,1947-04-22,,Yes,RCW,USGS,2.19,1.51,Good,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,1.51,6.70,3.12,0.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
