agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11156500,1,1939-12-03,,Yes,FAJ,USGS,1.17,1.90,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,1.90,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,2,1940-01-02,,Yes,HFM,USGS,1.31,4.40,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,4.40,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,3,1940-01-06,,Yes,HFM,USGS,1.45,9.60,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,9.60,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,5,1940-01-08,,Yes,HFM,USGS,2.86,258,Unspecified,-0.07,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,258,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,4,1940-01-08,,Yes,HFM,USGS,1.56,18.2,Unspecified,-0.01,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,18.2,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,6,1940-01-09,,Yes,HFM,USGS,2.07,73.0,Unspecified,-0.04,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,73.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,7,1940-01-18,,Yes,FAJ,USGS,1.41,12.9,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,12.9,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,7A,1940-01-23,,Yes,C,USGS,1.30,8.00,Fair,0.00,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,8.00,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,8,1940-01-25,,Yes,H,USGS,1.29,7.20,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,7.20,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,8A,1940-02-02,,Yes,HFM,USGS,2.81,264,Fair,-0.11,1.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,264,89.0,72.6,3.63,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11156500,9,1940-02-03,,Yes,H,USGS,2.76,286,Unspecified,-0.03,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,286,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
