agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11108500,297,1958-02-04,,Yes,K,USGS,4.49,1910,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1910,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,326,1958-04-01,,Yes,UNK,USGS,4.21,1520,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1520,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,328,1958-04-03,,Yes,UNK,USGS,5.50,5550,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,5550,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,331,1958-04-06,,Yes,UNK,USGS,4.35,1420,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,332,1958-04-07,,Yes,UNK,USGS,4.35,1350,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1350,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,597,1961-12-02,,Yes,UNK,USGS,6.35,1800,Unspecified,,,,NONE,1,Imported Channel 1,OTHR,QIDIR,,1800,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,618,1962-02-10,,Yes,UNK,USGS,7.18,1800,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1800,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,619,1962-02-11,,Yes,UNK,USGS,9.65,9100,Unspecified,,,,NONE,1,Imported Channel 1,OTHR,QIDIR,,9100,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,924,1965-11-24,,Yes,UNK,USGS,10.03,8760,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,8760,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,934,1965-12-29,,Yes,UNK,USGS,11.50,32000,Unspecified,,,,NONE,1,Imported Channel 1,OTHR,QIDIR,,32000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,993,1967-01-24,,Yes,UNK,USGS,8.05,4260,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,4260,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1042,1967-11-02,,Yes,UNK,USGS,6.00,1130,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1130,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1102,1969-01-25,,Yes,UNK,USGS,19.01,68800,Unspecified,,,,NONE,1,Imported Channel 1,OTHR,other,,68800,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1116,1969-02-25,,Yes,UNK,USGS,3.00,21700,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,21700,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1114,1969-02-25,,Yes,UNK,USGS,9.00,76000,Unspecified,,,,NONE,1,Imported Channel 1,OTHR,QIDIR,,76000,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1115,1969-02-25,,Yes,UNK,USGS,4.80,36900,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,36900,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1172,1970-10-01,,Yes,CEL,USGS,3.23,11.0,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,11.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1173,1970-10-28,,Yes,WW,USGS,3.20,15.1,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,15.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1174,1970-11-29,,Yes,WW,USGS,5.38,6470,Poor,-0.95,1.10,,NONE,1,Imported Channel 1,UNSP,other,,6470,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1175,1970-12-01,,Yes,WW,USGS,2.58,60.5,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,60.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1176,1970-12-09,,Yes,CEL/WW,USGS,2.25,37.7,Good,-0.02,0.20,,NONE,1,Imported Channel 1,UNSP,other,,37.7,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1177,1970-12-21,,Yes,CEL/WW,USGS,3.97,1120,Good,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,1120,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1178,1970-12-22,,Yes,WW,USGS,2.75,65.1,Poor,-0.02,0.70,,NONE,1,Imported Channel 1,UNSP,other,,65.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1179,1971-01-14,,Yes,WW,USGS,2.85,29.9,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,29.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1180,1971-02-11,,Yes,WW,USGS,3.34,29.0,Fair,-0.02,0.50,,NONE,1,Imported Channel 1,UNSP,other,,29.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1181,1971-03-08,,Yes,WW,USGS,3.11,25.0,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,25.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1182,1971-03-31,,Yes,WW,USGS,2.98,15.2,Fair,0.01,0.30,,NONE,1,Imported Channel 1,UNSP,other,,15.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1183,1971-05-03,,Yes,WW,USGS,3.40,16.8,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,16.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1184,1971-05-26,,Yes,CEL/WW,USGS,3.47,14.8,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,14.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1185,1971-06-14,,Yes,CEL/WW,USGS,3.49,9.68,Fair,-0.02,0.20,,NONE,1,Imported Channel 1,UNSP,other,,9.68,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1186,1971-06-29,,Yes,CEL,USGS,3.36,14.6,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,14.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1187,1971-07-12,,Yes,CEL,USGS,3.41,10.8,Good,-0.01,0.20,,NONE,1,Imported Channel 1,UNSP,other,,10.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1188,1971-07-28,,Yes,WW,USGS,3.38,10.8,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,10.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1189,1971-08-05,,Yes,WW,USGS,4.39,8.98,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,8.98,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1190,1971-08-10,,Yes,WW,USGS,3.38,8.62,Poor,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,8.62,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1191,1971-08-25,,Yes,WW,USGS,2.89,7.35,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,7.35,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1192,1971-09-03,,Yes,WW,USGS,3.11,6.99,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,6.99,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1192A,1971-09-22,,Yes,WW,USGS,2.95,9.00,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,9.00,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1193,1971-10-13,,Yes,WW,USGS,3.04,13.7,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,13.7,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1194,1971-11-04,,Yes,WW,USGS,2.83,17.5,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,17.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1195,1971-11-16,,Yes,WW,USGS,2.88,19.2,Fair,-0.02,0.50,,NONE,1,Imported Channel 1,UNSP,other,,19.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1196,1971-12-07,,Yes,WW,USGS,2.97,14.8,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,14.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1197,1971-12-25,,Yes,WW,USGS,3.24,59.9,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,59.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1198,1971-12-27,,Yes,CEL,USGS,6.30,3050,Poor,0.08,0.50,,NONE,1,Imported Channel 1,UNSP,other,,3050,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1199,1971-12-30,,Yes,UNK,USGS,3.31,41.5,Good,-0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,41.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1200,1972-01-01,,Yes,UNK,USGS,3.24,34.4,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,34.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1201,1972-01-17,,Yes,UNK,USGS,3.31,26.1,Fair,0.02,0.50,,NONE,1,Imported Channel 1,UNSP,other,,26.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1202,1972-02-04,,Yes,WW,USGS,3.42,29.2,Fair,0.01,0.20,,NONE,1,Imported Channel 1,UNSP,other,,29.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1203,1972-03-03,,Yes,WW,USGS,3.35,21.4,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,21.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1204,1972-03-17,,Yes,WW,USGS,2.90,14.0,Fair,0.01,0.20,,NONE,1,Imported Channel 1,UNSP,other,,14.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1205,1972-03-23,,Yes,WW,USGS,2.65,17.8,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,17.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1206,1972-04-03,,Yes,WW,USGS,2.69,14.2,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,14.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1207,1972-04-12,,Yes,DC,USGS,2.62,13.2,Good,-0.01,0.30,,NONE,1,Imported Channel 1,UNSP,other,,13.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1208,1972-05-02,,Yes,WW,USGS,2.84,12.3,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,12.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1209,1972-05-15,,Yes,DC,USGS,2.80,11.8,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,11.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1210,1972-06-05,,Yes,WW,USGS,2.57,7.81,Fair,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,7.81,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1211,1972-06-21,,Yes,WW,USGS,2.85,21.5,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,21.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1212,1972-07-05,,Yes,DC,USGS,2.84,17.6,Good,-0.01,0.30,,NONE,1,Imported Channel 1,UNSP,other,,17.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1213,1972-07-19,,Yes,DC,USGS,2.74,17.8,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,17.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1214,1972-08-02,,Yes,WW,USGS,2.59,11.3,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,11.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1215,1972-08-15,,Yes,DC,USGS,2.56,12.8,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,12.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1216,1972-09-07,,Yes,WW,USGS,2.53,13.6,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,13.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1217,1972-10-11,,Yes,WW,USGS,2.56,11.4,Good,0.01,0.20,,NONE,1,Imported Channel 1,UNSP,other,,11.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1218,1972-10-26,,Yes,WW,USGS,2.62,10.9,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,10.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1219,1972-11-15,,Yes,WW,USGS,3.05,23.8,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,23.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1220,1972-11-17,,Yes,UNK,USGS,3.30,37.0,Poor,0.03,1.00,,NONE,1,Imported Channel 1,UNSP,other,,37.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1221,1972-12-08,,Yes,UNK,USGS,3.41,29.3,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,29.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1222,1973-01-11,,Yes,WW,USGS,3.52,39.4,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,39.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1223,1973-01-17,,Yes,UNK,USGS,3.64,80.9,Good,-0.06,0.70,,NONE,1,Imported Channel 1,UNSP,other,,80.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1224,1973-01-19,,Yes,UNK,USGS,3.80,145,Good,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,145,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1225,1973-02-01,,Yes,WW,USGS,3.62,38.2,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,38.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1226,1973-02-11,,Yes,UNK,USGS,5.81,5540,Poor,-0.08,1.00,,NONE,1,Imported Channel 1,UNSP,other,,5540,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1227,1973-02-21,,Yes,UNK,USGS,3.35,136,Fair,0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,136,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1228,1973-02-28,,Yes,UNK,USGS,3.66,432,Fair,-0.01,0.70,,NONE,1,Imported Channel 1,UNSP,other,,432,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1229,1973-03-10,,Yes,UNK,USGS,3.41,122,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,122,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1230,1973-03-20,,Yes,DC,USGS,3.53,259,Good,-0.05,0.80,,NONE,1,Imported Channel 1,UNSP,other,,259,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1231,1973-04-18,,Yes,UNK,USGS,3.30,28.1,Fair,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,28.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1232,1973-05-16,,Yes,UNK,USGS,3.48,20.1,Good,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,20.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1233,1973-06-11,,Yes,DC,USGS,3.60,16.1,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,16.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1234,1973-07-09,,Yes,DC,USGS,3.72,12.0,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,12.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1235,1973-08-02,,Yes,FEL/DC,USGS,3.75,11.2,Unspecified,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,11.2,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1236,1973-08-17,,Yes,UNK,USGS,3.80,12.7,Fair,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,12.7,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1237,1973-09-04,,Yes,FEL,USGS,3.80,16.1,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,16.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1238,1973-10-03,,Yes,WW,USGS,3.78,5.14,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,5.14,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1245,1974-01-02,,Yes,UNK,USGS,5.19,1770,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1770,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1254,1974-04-23,,Yes,UNK,USGS,3.28,20.0,Fair,-0.10,0.50,,NONE,1,Imported Channel 1,UNSP,other,,20.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1255,1974-05-07,,Yes,UNK,USGS,3.30,18.0,Fair,-0.04,0.50,,NONE,1,Imported Channel 1,UNSP,other,,18.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1256,1974-05-23,,Yes,UNK,USGS,3.30,15.0,Poor,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,15.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1257,1974-06-04,,Yes,UNK,USGS,3.26,11.1,Poor,0.03,0.30,,NONE,1,Imported Channel 1,UNSP,other,,11.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1258,1974-06-25,,Yes,UNK,USGS,3.25,6.48,Poor,0.01,0.20,,NONE,1,Imported Channel 1,UNSP,other,,6.48,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1259,1974-07-09,,Yes,UNK,USGS,3.28,11.5,Fair,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,11.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1260,1974-07-23,,Yes,UNK,USGS,3.08,7.52,Unspecified,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,7.52,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1261,1974-08-07,,Yes,UNK,USGS,2.99,9.51,Fair,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,9.51,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1262,1974-08-21,,Yes,UNK,USGS,3.04,15.5,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,15.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1263,1974-09-04,,Yes,HF,USGS,2.97,11.3,Fair,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,11.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1264,1974-09-17,,Yes,UNK,USGS,3.03,9.42,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,9.42,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1265,1974-10-01,,Yes,UNK,USGS,3.03,11.5,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,11.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1266,1974-10-16,,Yes,HF,USGS,3.13,15.9,Good,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,15.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1267,1974-10-29,,Yes,JCB,USGS,3.18,16.9,Unspecified,0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,16.9,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1268,1974-11-14,,Yes,JCB,USGS,3.10,15.1,Fair,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,15.1,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1269,1974-11-27,,Yes,JCB,USGS,3.01,12.0,Fair,0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,12.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1270,1974-12-04,,Yes,JCB,USGS,3.83,229,Poor,-0.16,0.80,,NONE,1,Imported Channel 1,UNSP,other,,229,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1271,1974-12-13,,Yes,JCB,USGS,2.88,19.8,Fair,-0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,19.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1272,1974-12-26,,Yes,JCB,USGS,2.89,20.4,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,20.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1273,1975-01-09,,Yes,JCB,USGS,2.86,20.8,Fair,-0.01,0.60,,NONE,1,Imported Channel 1,UNSP,other,,20.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1274,1975-01-28,,Yes,JCB,USGS,2.75,15.8,Fair,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,15.8,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1275,1975-02-03,,Yes,JCB,USGS,3.12,78.6,Fair,-0.03,0.50,,NONE,1,Imported Channel 1,UNSP,other,,78.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1276,1975-02-24,,Yes,JCB,USGS,2.79,23.6,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,23.6,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1277,1975-03-06,,Yes,JCB,USGS,3.25,251,Poor,-0.17,0.50,,NONE,1,Imported Channel 1,UNSP,other,,251,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11108500,1278,1975-03-13,,Yes,JCB,USGS,2.85,28.5,Fair,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,28.5,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
