agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11272500,1,1944-08-26,,Yes,MIL/MIL,USGS,2.13,256,Good,0.00,1.10,,NONE,1,Imported Channel 1,UNSP,other,,256,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,2,1944-09-06,,Yes,MIL/MIL,USGS,1.96,217,Good,-0.01,0.90,,NONE,1,Imported Channel 1,UNSP,other,,217,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,3,1944-09-16,,Yes,MIL/MIL,USGS,1.97,234,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,234,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,4,1944-10-06,,Yes,MIL/MIL,USGS,2.12,264,Excellent,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,264,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,5,1944-10-27,,Yes,MIL/MIL,USGS,1.61,181,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,181,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,6,1944-10-27,,Yes,ADK/PAR,USGS,1.61,190,Unspecified,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,190,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,7,1944-11-10,,Yes,MIL/MIL,USGS,1.82,211,Good,0.00,1.00,,NONE,1,Imported Channel 1,UNSP,other,,211,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,8,1944-11-24,,Yes,MIL/MIL,USGS,1.75,195,Excellent,0.00,1.10,,NONE,1,Imported Channel 1,UNSP,other,,195,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,9,1944-11-28,,Yes,SCH/SCH,USGS,1.70,188,Unspecified,0.00,0.30,,NONE,1,Imported Channel 1,UNSP,other,,188,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,10,1944-12-18,,Yes,MIL/MIL,USGS,1.65,180,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,180,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,11,1945-01-05,,Yes,MIL/MIL,USGS,1.73,198,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,198,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,12,1945-01-30,,Yes,SCH/PAR,USGS,1.51,175,Good,0.00,0.40,,NONE,1,Imported Channel 1,UNSP,other,,175,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,13,1945-02-04,,Yes,MIL/MIL,USGS,8.66,2150,Good,-0.07,1.00,,NONE,1,Imported Channel 1,UNSP,other,,2150,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,15,1945-02-12,,Yes,MIL/MIL,USGS,6.80,1330,Good,0.07,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1330,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,16,1945-02-22,,Yes,WIL/PAR,USGS,6.66,1340,Good,0.07,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1340,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,17,1945-03-01,,Yes,MIL/MIL,USGS,6.62,1360,Good,0.07,0.90,,NONE,1,Imported Channel 1,UNSP,other,,1360,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,18,1945-03-13,,Yes,MIL/MIL,USGS,6.53,1350,Good,0.08,0.90,,NONE,1,Imported Channel 1,UNSP,other,,1350,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,19,1945-03-30,,Yes,MIL/MIL,USGS,10.62,3130,Good,-0.09,0.90,,NONE,1,Imported Channel 1,UNSP,other,,3130,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,20,1945-04-06,,Yes,MIL/MIL,USGS,7.06,1430,Good,-0.02,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1430,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,21,1945-04-17,,Yes,MIL/MIL,USGS,6.42,1250,Good,-0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1250,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,22,1945-05-05,,Yes,MIL/MIL,USGS,12.32,4310,Good,0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,4310,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,23,1945-05-15,,Yes,MIL/MIL,USGS,11.30,3500,Good,-0.07,1.00,,NONE,1,Imported Channel 1,UNSP,other,,3500,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,24,1945-05-31,,Yes,MIL/MIL,USGS,5.49,810,Good,-0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,810,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,25,1945-06-01,,Yes,MIL/MIL,USGS,5.76,891,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,891,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,26,1945-06-13,,Yes,MIL/MIL,USGS,9.13,2390,Good,0.03,1.00,,NONE,1,Imported Channel 1,UNSP,other,,2390,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,27,1945-06-29,,Yes,MIL/MIL,USGS,5.29,740,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,740,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,28,1945-07-09,,Yes,MIL/MIL,USGS,3.87,380,Good,-0.04,1.10,,NONE,1,Imported Channel 1,UNSP,other,,380,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,29,1945-07-24,,Yes,SCH/ADK,USGS,3.22,310,Unspecified,0.01,0.60,,NONE,1,Imported Channel 1,UNSP,other,,310,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,30,1945-08-09,,Yes,MIL/MIL,USGS,3.10,298,Good,0.01,0.80,,NONE,1,Imported Channel 1,UNSP,other,,298,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,31,1945-08-21,,Yes,SCH/ADK,USGS,2.86,286,Good,-0.01,0.50,,NONE,1,Imported Channel 1,UNSP,other,,286,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,32,1945-09-07,,Yes,MIL/MIL,USGS,2.88,278,Good,-0.02,0.90,,NONE,1,Imported Channel 1,UNSP,other,,278,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,33,1945-09-18,,Yes,SCH/ADK,USGS,2.94,313,Good,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,313,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,34,1945-10-02,,Yes,MIL/MIL,USGS,2.94,314,Good,-0.02,0.90,,NONE,1,Imported Channel 1,UNSP,other,,314,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,35,1945-10-23,,Yes,SCH/ADK,USGS,2.48,222,Good,-0.01,0.90,,NONE,1,Imported Channel 1,UNSP,other,,222,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,36,1945-11-05,,Yes,MIL/MIL,USGS,2.12,185,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,185,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,37,1945-11-20,,Yes,SCH/PAR,USGS,2.12,176,Good,0.00,0.60,,NONE,1,Imported Channel 1,UNSP,other,,176,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,38,1945-12-03,,Yes,MIL/MIL,USGS,2.09,173,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,173,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,39,1945-12-18,,Yes,SCH/PAR,USGS,2.12,182,Fair,-0.01,0.40,,NONE,1,Imported Channel 1,UNSP,other,,182,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,40,1946-01-17,,Yes,MIL/MIL,USGS,6.42,1210,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,41,1946-02-08,,Yes,MIL/MIL,USGS,6.37,1190,Good,-0.01,1.00,,NONE,1,Imported Channel 1,UNSP,other,,1190,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,42,1946-02-21,,Yes,MIL/MIL,USGS,6.35,1210,Good,0.01,0.80,,NONE,1,Imported Channel 1,UNSP,other,,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,43,1946-03-11,,Yes,MIL/MIL,USGS,3.87,495,Good,-0.02,0.90,,NONE,1,Imported Channel 1,UNSP,other,,495,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,44,1946-03-26,,Yes,WIL/KAM,USGS,3.26,390,Good,-0.02,0.80,,NONE,1,Imported Channel 1,UNSP,other,,390,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,45,1946-04-11,,Yes,MIL/MIL,USGS,4.10,601,Good,-0.04,0.80,,NONE,1,Imported Channel 1,UNSP,other,,601,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,46,1946-04-24,,Yes,SCH/GAR,USGS,3.08,396,Fair,-0.01,0.90,,NONE,1,Imported Channel 1,UNSP,other,,396,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,47,1946-04-27,,Yes,MIL/CHA,USGS,10.24,2980,Good,0.02,1.00,,NONE,1,Imported Channel 1,UNSP,other,,2980,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,48,1946-05-08,,Yes,MIL/MIL,USGS,11.78,3950,Good,-0.01,0.90,,NONE,1,Imported Channel 1,UNSP,other,,3950,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,49,1946-05-17,,Yes,MIL/MIL,USGS,4.38,495,Good,-0.01,0.80,,NONE,1,Imported Channel 1,UNSP,other,,495,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,50,1946-05-21,,Yes,WIL/SAL,USGS,9.78,2680,Fair,0.03,1.10,,NONE,1,Imported Channel 1,UNSP,other,,2680,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,51,1946-06-11,,Yes,CHA/CHA,USGS,5.91,991,Good,0.01,1.10,,NONE,1,Imported Channel 1,UNSP,other,,991,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,52,1946-06-18,,Yes,SAL/WIL,USGS,4.28,526,Good,-0.03,1.40,,NONE,1,Imported Channel 1,UNSP,other,,526,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,53,1946-07-08,,Yes,CHA/CHA,USGS,3.21,329,Good,0.00,0.90,,NONE,1,Imported Channel 1,UNSP,other,,329,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,54,1946-07-23,,Yes,SAL/SAL,USGS,2.64,264,Fair,-0.03,0.80,,NONE,1,Imported Channel 1,UNSP,other,,264,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,55,1946-08-07,,Yes,MIL/MIL,USGS,2.68,268,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,268,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,56,1946-08-20,,Yes,SCH/SCH,USGS,2.75,293,Poor,0.02,1.00,,NONE,1,Imported Channel 1,UNSP,other,,293,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,57,1946-09-05,,Yes,MIL/MIL,USGS,2.35,243,Good,0.00,0.80,,NONE,1,Imported Channel 1,UNSP,other,,243,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,59,1946-09-24,,Yes,KNO/KNO,USGS,2.32,241,Fair,-0.01,1.50,,NONE,1,Imported Channel 1,UNSP,other,,241,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,58,1946-09-24,,Yes,BEN/BEN,USGS,2.32,246,Good,-0.01,1.10,,NONE,1,Imported Channel 1,UNSP,other,,246,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,60,1946-10-09,,Yes,MIL/MIL,USGS,2.32,228,Good,-0.04,0.80,,NONE,1,Imported Channel 1,UNSP,other,,228,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,61,1946-10-22,,Yes,SAL/SAL,USGS,1.90,177,Good,0.00,1.00,,NONE,1,Imported Channel 1,UNSP,other,,177,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11272500,62,1946-11-05,,Yes,MIL/MIL,USGS,1.82,156,Fair,0.00,0.50,,NONE,1,Imported Channel 1,UNSP,other,,156,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
