agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11160000,1X,1936-11-14,,Yes,GFH,USGS,1.77,2.80,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.80,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,2X,1936-12-01,,Yes,GFH,USGS,1.79,2.70,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.70,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,3X,1936-12-16,,Yes,GFH,USGS,2.03,9.40,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,9.40,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,4X,1936-12-28,,Yes,GFH,USGS,2.27,20.8,Unspecified,-0.02,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,20.8,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,5X,1936-12-31,,Yes,GFH,USGS,2.47,32.1,Unspecified,-0.02,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,32.1,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,5A,1937-01-08,,Yes,GFH,USGS,2.47,7.20,Unspecified,0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,7.20,22.0,22.6,0.32,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,6X,1937-01-09,,Yes,GFH,USGS,1.94,6.40,Unspecified,0.02,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,6.40,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,7X,1937-01-15,,Yes,GFH,USGS,2.35,29.1,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,29.1,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,8X,1937-01-28,,Yes,GFH,USGS,2.78,80.0,Unspecified,0.07,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,80.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,9X,1937-02-02,,Yes,GFH,USGS,3.05,124,Unspecified,-0.06,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,124,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,10X,1937-02-05,,Yes,GFH,USGS,4.08,393,Unspecified,-0.11,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,393,47.5,76.8,5.10,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,11X,1937-02-09,,Yes,GFH,USGS,2.87,78.0,Unspecified,-0.02,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,78.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,12X,1937-02-20,,Yes,GFH,USGS,2.88,73.0,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,73.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,14X,1937-03-22,,Yes,GFH,USGS,4.90,716,Unspecified,-0.10,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,716,50.0,116,6.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,15X,1937-03-24,,Yes,GFH,USGS,5.55,894,Unspecified,-0.10,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,894,53.0,148,6.04,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,16X,1937-04-07,,Yes,GFH,USGS,3.04,69.0,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,69.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,17X,1937-04-14,,Yes,GFH,USGS,2.83,45.5,Unspecified,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,45.5,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,18X,1937-05-07,,Yes,GFH,USGS,2.51,24.3,Unspecified,0.00,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,24.3,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,19X,1937-06-06,,Yes,HFM,USGS,2.28,12.0,Unspecified,0.01,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,12.0,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,20X,1937-07-08,,Yes,HMO,USGS,2.11,5.60,Unspecified,0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,5.60,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,21X,1937-08-03,,Yes,HMO,USGS,2.03,3.10,Unspecified,-0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,3.10,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,22X,1937-09-02,,Yes,HMO,USGS,1.98,2.00,Unspecified,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.00,,,0.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,23X,1937-10-04,,Yes,HMO,USGS,2.03,2.90,Unspecified,0.00,,,NONE,1,Imported Channel 1,UNSP,other,,2.90,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,1,1951-05-13,,Yes,BUR,USGS,3.99,18.1,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,18.1,24.5,21.9,0.83,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,2,1951-06-03,,Yes,BUR,USGS,4.01,9.60,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,9.60,13.5,9.40,1.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,3,1951-07-15,,Yes,BUR,USGS,3.76,8.20,Fair,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,8.20,12.7,6.00,1.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,4,1951-09-13,,Yes,BRO,USGS,3.74,3.01,Good,-0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,3.01,12.0,6.60,0.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,5,1951-10-18,,Yes,DAW,USGS,3.80,3.04,Good,,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,3.04,13.0,6.80,0.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,6,1951-11-23,,Yes,DAW,USGS,4.36,11.4,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,11.4,20.0,26.4,0.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,7,1951-12-03,,Yes,HAI,USGS,6.26,445,Fair,-0.28,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,445,90.0,138,3.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,8,1951-12-13,,Yes,DAW,USGS,3.84,21.0,Good,-0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,21.0,20.0,13.4,1.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,9,1951-12-28,,Yes,GAR,USGS,8.25,1530,Fair,-0.46,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,1530,112,341,4.49,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,10,1952-01-08,,Yes,DAW,USGS,5.16,199,Good,-0.01,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,199,32.0,57.0,3.49,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,11,1952-01-14,,Yes,GAR,USGS,9.11,2010,Fair,-0.49,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2010,68.0,358,5.61,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,12,1952-02-24,,Yes,DAW,USGS,4.40,91.0,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,91.0,28.0,35.3,2.58,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,13,1952-04-01,,Yes,DAW,USGS,4.34,79.0,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,79.0,29.0,31.3,2.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,14,1952-05-08,,Yes,DAW,USGS,3.92,35.5,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,35.5,25.0,20.7,1.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,15,1952-06-16,,Yes,GAR,USGS,3.50,14.9,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,14.9,14.0,16.0,0.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,16,1952-06-30,,Yes,HAI,USGS,3.72,17.9,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,17.9,18.0,17.9,1.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,17,1952-07-29,,Yes,DAW,USGS,3.46,9.10,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,9.10,11.7,13.0,0.70,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,18,1952-08-18,,Yes,GAR,USGS,3.36,7.00,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,7.00,16.0,11.7,0.60,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,19,1952-09-05,,Yes,DAW,USGS,3.46,5.20,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,5.20,8.60,7.60,0.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,20,1952-09-18,,Yes,DAW,USGS,3.41,6.20,Good,0.00,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,6.20,8.40,7.10,0.87,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,21,1952-10-16,,Yes,DAW,USGS,3.33,6.40,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,6.40,8.70,6.60,0.97,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,22,1952-11-06,,Yes,DAW,USGS,3.36,5.30,Good,-0.01,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,5.30,8.60,7.10,0.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,23,1952-11-27,,Yes,HUG,USGS,3.29,6.90,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,6.90,8.40,5.90,1.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,24,1952-12-05,,Yes,JAM,USGS,4.38,74.0,Good,-0.04,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,74.0,26.0,36.1,2.05,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,25,1952-12-08,,Yes,GAR,USGS,4.45,102,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,102,37.0,47.0,2.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,26,1952-12-31,,Yes,DAW,USGS,4.41,151,Good,-0.02,1.00,,NONE,1,Imported Channel 1,WADE,unspe,unkno,151,33.0,52.3,2.89,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,27,1953-02-18,,Yes,HUG,USGS,3.28,23.4,Good,0.00,1.00,,NONE,1,Imported Channel 1,WADE,unspe,unkno,23.4,27.0,21.7,1.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,28,1953-03-10,,Yes,DAW,USGS,3.37,30.9,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,30.9,18.0,17.2,1.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,29,1953-03-22,,Yes,HUG,USGS,3.66,83.0,Good,-0.01,1.00,,NONE,1,Imported Channel 1,WADE,unspe,unkno,83.0,31.0,47.3,1.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11160000,30,1953-04-03,,Yes,DAW,USGS,3.15,28.8,Good,0.00,,,NONE,1,Imported Channel 1,WADE,unspe,unkno,28.8,16.6,20.8,1.38,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
