agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,11278300,1,1956-05-29,,Yes,DAH/RAW,USGS,2.16,2.85,Good,-0.01,0.50,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.85,9.10,4.00,0.71,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,2,1956-05-31,,Yes,DAH/RAW,USGS,6.58,868,Unspecified,-0.02,0.90,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,868,86.0,331,2.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,4,1956-06-13,,Yes,DAH/RAW,USGS,8.56,2420,Good,0.02,1.20,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,2420,102,508,4.76,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,3,1956-06-13,,Yes,DAH/RAW,USGS,8.19,2040,Good,0.00,1.20,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,2040,99.0,461,4.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,11,1956-07-11,,Yes,RAW/DAH,USGS,9.54,3540,Good,1.00,1.10,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,3540,113,626,5.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,5,1956-07-16,,Yes,DAH/RAW,USGS,6.22,732,Good,0.01,1.40,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,732,83.0,318,2.30,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,7,1956-07-25,,Yes,DAH,USGS,7.89,1820,Good,0.01,1.10,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,1820,98.0,452,4.03,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,6,1956-07-25,,Yes,DAH,USGS,7.39,1380,Good,0.01,1.10,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,1380,91.0,413,3.34,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,9,1956-07-26,,Yes,RAW/DAH,USGS,8.84,2650,Good,0.01,2.80,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,2650,108,554,4.18,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,8,1956-07-26,,Yes,RAW,USGS,8.36,2160,Good,0.02,1.70,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,2160,104,498,4.34,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,10,1956-07-27,,Yes,RAW/DAH,USGS,9.14,2950,Good,0.02,1.30,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,2950,110,571,5.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,12,1956-07-30,,Yes,RAW/DAH,USGS,9.77,3970,Fair,-0.01,1.30,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,3970,120,662,6.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,13,1956-09-25,,Yes,RJS/DAH,USGS,2.10,2.24,Good,0.00,0.30,,NONE,1,Imported Channel 1,WADE,unspe,unkno,2.24,6.60,2.56,0.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,15,1956-11-29,,Yes,RAW,USGS,2.75,12.9,Fair,0.00,0.80,,NONE,1,Imported Channel 1,WADE,unspe,unkno,12.9,50.0,82.3,0.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,16,1956-12-19,,Yes,RAW/DAH,USGS,2.74,14.4,Good,-0.01,0.70,,NONE,1,Imported Channel 1,WADE,unspe,unkno,14.4,23.3,33.1,0.44,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,17,1957-03-08,,Yes,RAW,USGS,5.47,421,Good,0.00,1.60,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,421,78.0,250,1.68,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,18,1957-03-19,,Yes,RAW,USGS,4.69,205,Fair,0.00,1.10,,NONE,1,Imported Channel 1,UNSP,other,,205,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,19,1957-04-19,,Yes,RAW,USGS,5.42,410,Good,,,,NONE,1,Imported Channel 1,UNSP,other,,410,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,20,1957-06-06,,Yes,RAW,USGS,6.13,663,Good,-0.02,1.20,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,663,82.0,300,2.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,21,1957-06-27,,Yes,RAW/MAL,USGS,5.25,339,Good,0.00,1.20,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,339,77.0,234,1.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,22,1957-07-31,,Yes,RAW,USGS,8.00,1870,Good,0.01,1.20,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,1870,95.0,468,4.00,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,23,1957-09-12,,Yes,DAH,USGS,2.89,17.9,Fair,0.00,1.00,,NONE,1,Imported Channel 1,WADE,unspe,unkno,17.9,26.7,41.3,0.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,24,1957-10-22,,Yes,RAW,USGS,1.91,0.68,Good,0.00,0.20,,NONE,1,Imported Channel 1,UNSP,other,,0.68,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,25,1957-12-11,,Yes,RAW/DAH,USGS,2.65,11.4,Unspecified,0.00,0.70,,NONE,1,Imported Channel 1,WADE,unspe,unkno,11.4,11.5,13.5,0.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,26,1958-01-31,,Yes,DAH,USGS,3.22,29.2,Good,0.01,0.90,,NONE,1,Imported Channel 1,WADE,unspe,unkno,29.2,31.5,43.8,0.67,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,11278300,27,1958-04-17,,Yes,RAW,USGS,3.27,30.6,Good,-0.04,0.90,,NONE,1,Imported Channel 1,WADE,unspe,unkno,30.6,25.0,47.3,0.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
